Accession_No,Mapping_Order,Full_name,Genus,Species,Origin,Leaf_no,Latitude,Longitude,Height_ft,Sun_Exposure_percent,Distance_from_Road_ft,Leaf_Accessibility,Gall_Presence,Leaf_Herbivory
W08-102,1,Quercus alba,Quercus,alba,Native,1,40.654666,-73.996547,29,75,0,high,N,14
W08-102,1,Quercus alba,Quercus,alba,Native,2,40.654666,-73.996547,29,75,0,high,N,11
W08-102,1,Quercus alba,Quercus,alba,Native,3,40.654666,-73.996547,29,75,0,high,N,13
W08-102,1,Quercus alba,Quercus,alba,Native,4,40.654666,-73.996547,29,75,0,high,N,5
W08-102,1,Quercus alba,Quercus,alba,Native,5,40.654666,-73.996547,29,75,0,high,N,8
W08-102,1,Quercus alba,Quercus,alba,Native,6,40.654666,-73.996547,29,75,0,high,N,3
W08-102,1,Quercus alba,Quercus,alba,Native,7,40.654666,-73.996547,29,75,0,high,N,2
W08-102,1,Quercus alba,Quercus,alba,Native,8,40.654666,-73.996547,29,75,0,high,N,4
W08-102,1,Quercus alba,Quercus,alba,Native,9,40.654666,-73.996547,29,75,0,high,N,2
W08-102,1,Quercus alba,Quercus,alba,Native,10,40.654666,-73.996547,29,75,0,high,N,7
W34-140,2,Quercus robur,Quercus,robur,Non-native,1,40.649972,-73.997473,37,100,50,medium,N,7
W34-140,2,Quercus robur,Quercus,robur,Non-native,2,40.649972,-73.997473,37,100,50,medium,N,6
W34-140,2,Quercus robur,Quercus,robur,Non-native,3,40.649972,-73.997473,37,100,50,medium,N,9
W34-140,2,Quercus robur,Quercus,robur,Non-native,4,40.649972,-73.997473,37,100,50,medium,N,10
W34-140,2,Quercus robur,Quercus,robur,Non-native,5,40.649972,-73.997473,37,100,50,medium,N,6
W34-140,2,Quercus robur,Quercus,robur,Non-native,6,40.649972,-73.997473,37,100,50,medium,N,1
W34-140,2,Quercus robur,Quercus,robur,Non-native,7,40.649972,-73.997473,37,100,50,medium,N,1
W34-140,2,Quercus robur,Quercus,robur,Non-native,8,40.649972,-73.997473,37,100,50,medium,N,2
W34-140,2,Quercus robur,Quercus,robur,Non-native,9,40.649972,-73.997473,37,100,50,medium,N,3
W34-140,2,Quercus robur,Quercus,robur,Non-native,10,40.649972,-73.997473,37,100,50,medium,N,3
W15-84,3,Quercus robur,Quercus,robur,Non-native,1,40.65161,-73.9923,30,100,0,medium,N,6
W15-84,3,Quercus robur,Quercus,robur,Non-native,2,40.65161,-73.9923,30,100,0,medium,N,1
W15-84,3,Quercus robur,Quercus,robur,Non-native,3,40.65161,-73.9923,30,100,0,medium,N,2
W15-84,3,Quercus robur,Quercus,robur,Non-native,4,40.65161,-73.9923,30,100,0,medium,N,3
W15-84,3,Quercus robur,Quercus,robur,Non-native,5,40.65161,-73.9923,30,100,0,medium,N,3
W15-84,3,Quercus robur,Quercus,robur,Non-native,6,40.65161,-73.9923,30,100,0,medium,N,5
W15-84,3,Quercus robur,Quercus,robur,Non-native,7,40.65161,-73.9923,30,100,0,medium,N,4
W15-84,3,Quercus robur,Quercus,robur,Non-native,8,40.65161,-73.9923,30,100,0,medium,N,7
W15-84,3,Quercus robur,Quercus,robur,Non-native,9,40.65161,-73.9923,30,100,0,medium,N,5
W15-84,3,Quercus robur,Quercus,robur,Non-native,10,40.65161,-73.9923,30,100,0,medium,N,1
W27-138,4,Quercus robur,Quercus,robur,Non-native,1,40.651733,-73.990995,26,100,50,high,N,1
W27-138,4,Quercus robur,Quercus,robur,Non-native,2,40.651733,-73.990995,26,100,50,high,N,1
W27-138,4,Quercus robur,Quercus,robur,Non-native,3,40.651733,-73.990995,26,100,50,high,N,2
W27-138,4,Quercus robur,Quercus,robur,Non-native,4,40.651733,-73.990995,26,100,50,high,N,1
W27-138,4,Quercus robur,Quercus,robur,Non-native,5,40.651733,-73.990995,26,100,50,high,N,3
W27-138,4,Quercus robur,Quercus,robur,Non-native,6,40.651733,-73.990995,26,100,50,high,N,8
