Accession_#,Mapping_Order,Full_Name,Genus,Species,Origin,Location,Latitude,Longitude,Height_(ft),Sun_Exposure_(%),Distance_from_Road_(ft),Leaf_Accessibility,Gall_Presence,total_galls,Gall_Species_1,#_galls_1,Gall_Species_2,#_galls_2,Gall_Species_3,#_galls_3,Gall_Species_4,#_galls_4,Gall_Species_5,#_galls_5,Notes,Lichen_Presence,Blue FlavoCap_Log%,GreenFlavoCap_Log%,GrayFlavoCap_Log%,MintGreenLeafy_Log%,BrightGreenPowder_Log%,LightGreenPowder_Log%,GrayGreenPowder_Log%,GreyPowder_Log%,MintGreenPowder_Log%,NeonGreen_Log%,Physcia_Log%,WhitePhysciaPowder_Log%,BlueGreenSpeckled_Log%,GrayBlueCrust_Log%,Degrees_Measured
E26-227,14,Quercus_alba,Quercus,alba,Native,GWC,40.651292,-73.986582,19,100,0,high,Y,1,Acraspis_pezomachoides,1,,,,,,,,,,Y,<1,0,0,0,0,0,0,0,<1,<1,0,0,0,0,
S02-7,10,Quercus_alba,Quercus,alba,Native,GWC,40.647707,-73.992305,33,100,0,high,Y,5,Disholcaspis_quercusglobulus,2,Acraspis_erinacei,2,Acraspis_pezomachoides,1,,,,,,Y,1-10,0,0,0,0,0,0,0,0,<1,0,0,0,0,
S03-32,9,Quercus_alba,Quercus,alba,Native,GWC,40.648113,-73.992812,58,75,25,low,Y,7,Andricus _quercuspetiolicola,7,,,,,,,,,,Y,<1,0,0,0,1-10,1-10,0,0,0,0,0,<1,0,0,
S04-10,8,Quercus_alba,Quercus,alba,Native,GWC,40.649857,-73.991537,67,75,25,low,N,0,,,,,,,,,,,Need clippers/truck,Y,10-100,0,0,0,10-100,0,0,0,<1,0,0,0,0,0,
S08-139,12,Quercus_alba,Quercus,alba,Native,GWC,40.650366,-73.984114,15,100,50,high,Y,30,Philonix_fulvicollis,1,Andricus _quercuspetiolicola,22,Andricus_quercusfrondosus,7,,,,,,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
S08-159,13,Quercus_alba,Quercus,alba,Native,GWC,40.65039,-73.985293,19,100,50,high,N,0,,,,,,,,,,,,Y,<1,0,0,0,0,0,0,0,0,0,0,0,0,0,
W08-102,1,Quercus_alba,Quercus,alba,Native,GWC,40.654666,-73.996547,29,75,0,high,N,0,,,,,,,,,,,,Y,<1,0,0,0,0,0,0,<1,0,<1,0,0,0,0,
W18-31,7,Quercus_alba,Quercus,alba,Native,GWC,40.653718,-73.990695,57,50,50,medium,Y,241,Acraspis_erinacei,241,,,,,,,,,,Y,<1,0,0,0,1-10,0,0,0,0,0,0,0,0,0,
W18-78,6,Quercus_alba,Quercus,alba,Native,GWC,40.653388,-73.990816,18,75,0,high,Y,13,Acraspis_erinacei,13,,,,,,,,,,Y,<1,0,0,0,<1,0,0,0,0,0,0,0,0,0,
W27-67,5,Quercus_alba,Quercus,alba,Native,GWC,40.65197,-73.99061,63,100,0,medium,Y,1,Philonix_fulvicollis,1,,,,,,,,,,Y,<1,0,0,0,1-10,0,0,0,0,<1,0,0,0,0,
W27-138,4,Quercus_robur,Quercus,robur,Non-native,GWC,40.651733,-73.990995,26,100,50,high,N,0,,,,,,,,,,,Photo of possible egg case,Y,<1,<1,0,0,0,0,0,0,<1,1-10,0,0,0,0,
E19-172,18,Quercus_robur,Quercus,robur,Non-native,GWC,40.657718,-73.987109,27,100,50,medium,N,0,,,,,,,,,,,,Y,<1,0,0,0,0,<1,0,0,0,1-10,0,<1,0,0,
S15-209,11,Quercus_robur,Quercus,robur,Non-native,GWC,40.646507,-73.986165,32,100,50,high,N,0,,,,,,,,,,,,Y,<1,0,0,0,0,0,0,0,0,1-10,0,0,0,0,
S10-144,15,Quercus_robur,Quercus,robur,Non-native,GWC,40.651589,-73.981692,25,75,25,medium,N,0,,,,,,,,,,,,Y,<1,0,0,0,0,0,0,0,0,1-10,0,0,0,0,
E22-182,16,Quercus_robur,Quercus,robur,Non-native,GWC,40.656315,-73.985671,37,100,50,high,N,0,,,,,,,,,,,Some Blue FlavoCap mixed with green lichen,Y,<1,0,0,0,0,<1,0,0,0,0,0,0,0,0,
E19-171,19,Quercus_robur,Quercus,robur,Non-native,GWC,40.657428,-73.987351,33,100,50,medium,N,0,,,,,,,,,,,,Y,<1,0,0,0,1-10,0,0,0,<1,<1,0,0,0,0,
W15-84,3,Quercus_robur,Quercus,robur,Non-native,GWC,40.65161,-73.9923,30,100,0,medium,N,0,,,,,,,,,,,,Y,1-10,0,0,0,0,0,0,0,<1,1-10,0,0,0,0,
E20-90,17,Quercus_robur,Quercus,robur,Non-native,GWC,40.656909,-73.987337,38,100,25,high,N,0,,,,,,,,,,,,Y,1-10,0,0,0,1-10,0,0,0,<1,1-10,0,0,0,0,
