occurrenceID,institutionCode,basisOfRecord,catalogNumber,recordedBy,recordNumber,year,month,day,continent,country,stateProvince,county,locality,decimalLatitude,decimalLongitude,georeferenceProtocol,coordinateUncertaintyInMeters,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,scientificName,identifiedBy,yearIdentified,dcterms:references,associatedMedia,Origin,Gall Presence (Y/N),Checked By,Notes,Total Galls,Gall Species 1,Number 1,Gall Species 2,Number 2,Gall Species 3,Number 3
782792ac-34b6-4873-99f8-c72733098516,NY,PreservedSpecimen,2377735,T. J. Delendick,1382,1977,5,18,North America,United States of America,New York,Bronx Co.,The New York Botanical Garden. Hemlock Forest overlooking Bronx River,40.8568,-73.8754,GEOLocate Web Application,2289,Plantae,Magnoliophyta,,Sapindales,Sapindaceae,Acer,rubrum,,Acer rubrum L.,D. E. Atha,2015,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2618516,http://sweetgum.nybg.org/images3/4249/601/02377735.jpg,Native,Y,LE,covering many leaves,45,Acericecis ocellaris,45,,,,
1cc0e9e8-ad1e-4a3b-b435-c4a1a396d9e0,NY,PreservedSpecimen,2377726,T. J. Delendick,756,1976,6,5,North America,United States of America,New York,Bronx Co.,"The New York Botanical Garden. In hemlock forest, behind Rock Garden",40.8568,-73.8754,GEOLocate Web Application,2289,Plantae,Magnoliophyta,,Sapindales,Sapindaceae,Acer,rubrum,,Acer rubrum L.,D. E. Atha,2015,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2618129,http://sweetgum.nybg.org/images3/4255/906/02377726.jpg,Native,Y,LE,,1,Acericecis ocellaris,1,,,,
aeddf231-4638-4a8d-abed-843a42dc79fd,NY,PreservedSpecimen,1170136,D. H. R. McClelland,359,2006,9,27,North America,United States of America,New York,Bronx Co.,The New York Botanical Garden. Along path between Hester Bridge and Azalea Way,40.8606,-73.8764,,,Plantae,Magnoliophyta,,Fagales,Fagaceae,Quercus,alba,,Quercus alba L.,D. H. R. McClelland,2006,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1720930,http://sweetgum.nybg.org/images3/545/223/01170136.jpg,Native,Y,LE,Hidden behind leaf on bottom,1,Philonix fulvicollis,1,,,,
52ba8e1c-55b2-4d10-98c9-4dcbc24073c2,NY,PreservedSpecimen,1087277,D. E. Atha,6802,2008,9,23,North America,United States of America,New York,Bronx Co.,"The New York Botanical Garden, ca 320 m (by air) west of the Bronx River and ca 350-365 m (by air) north of Fordham Road/Pelham Parkway/US 1",40.8601,-73.88,,,Plantae,Magnoliophyta,,Fagales,Fagaceae,Quercus,alba,,Quercus alba L.,D. E. Atha,2008,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1199547,https://sweetgum.nybg.org/images3/524/029/01087277.jpg,Native,Y,LE,,17,Acraspis pezomachoides,12,Phylloteras poculum,5,,
baff30d0-11f1-4135-b200-30f62e80dcc6,NY,PreservedSpecimen,1268817,D. E. Atha,9017,2010,9,16,North America,United States of America,New York,Bronx Co.,"City of New York. Grounds of The New York Botanical Garden, N of Waring Avenue and W of the Bronx River",40.864,-73.8773,GPS,,Plantae,Magnoliophyta,,Fagales,Fagaceae,Quercus,alba,,Quercus alba L.,D. E. Atha,2011,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1481401,https://sweetgum.nybg.org/images3/545/227/01268817.jpg,Native,Y,LE,,2,Druon quercusflocci,1,Macrodiplosis erubescens,1,,
dd18f47b-abd2-44d3-ba75-243cac77f718,NY,PreservedSpecimen,2688488,D. E. Atha,15488,2016,6,8,North America,United States of America,New York,New York Co.,"Central Park. Tennis House, at intersection of West Drive and 97th St Transverse. Between 96th and 97th Streets and between 7th and 8th Avenues",40.7911,-73.9624,GPS,,Plantae,Magnoliophyta,,Fagales,Fagaceae,Quercus,bicolor,,Quercus bicolor Willd.,D. E. Atha,2016,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2972135,https://sweetgum.nybg.org/images3/2103/706/02688488.jpg,Native,Y,LE,Unsure of ID,2,Andricus sp,2,,,,
5232ac2c-a334-4500-8c7d-370c05dd7763,NY,PreservedSpecimen,1206797,D. E. Atha,8597,2010,7,26,North America,United States of America,New York,Bronx Co.,"City of New York. Grounds of The New York Botanical Garden, N of Waring Avenue and W of the Bronx River",40.8655,-73.8804,GPS,,Plantae,Magnoliophyta,,Fagales,Fagaceae,Quercus,macrocarpa,,Quercus macrocarpa Michx.,D. E. Atha,2010,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1453611,https://sweetgum.nybg.org/images3/562/878/01206797.jpg,Native,N,LE,,0,,,,,,
b11df53f-ad49-4390-a9e7-f0368d3dd62c,NY,PreservedSpecimen,1116540,M. H. Nee,43616,1993,7,17,North America,United States of America,New York,Bronx Co.,"New York Botanical Garden, floodplain of Bronx River between NYBG Garden bridge and the northwestern highway bridge",40.85,-73.88,,,Plantae,Magnoliophyta,,Fagales,Fagaceae,Quercus,palustris,,Quercus palustris Münchh.,M. H. Nee,1993,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=112314,http://sweetgum.nybg.org/images3/4271/544/01116540.jpg,Native,Y,LE,"1 in central area, 2 near top",3,Polystepha pilulae,3,,,,
5ab1a447-6ad3-4fa3-8fda-81060d91adc5,NY,PreservedSpecimen,1466300,M. H. Nee,52591,2003,9,19,North America,United States of America,New York,Bronx Co.,"between the Metro North railroad line and the New York Botanical Garden, south of Mosholu Parkway",40.8674,-73.8806,"Georeferencing Quick Reference Guide, Version 2012",143.989,Plantae,Magnoliophyta,,Fagales,Fagaceae,Quercus,palustris,,Quercus palustris Münchh.,,,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1707591,http://sweetgum.nybg.org/images3/610/566/01466300.jpg,Native,Y,LE,Unsure of second ID,6,Druon quercuslonigerum,4,Polystepha pilulae,2,,
89a4ed13-c016-4623-ac58-ed327649475c,NY,PreservedSpecimen,2235987,D. E. Atha,13987,2013,8,26,North America,United States of America,New York,New York Co.,"Central Park, Tennis House, along the West Drive, between 96th and 97th Sts and between Adam Clayton Powell Blvd and Central Park West",40.7912,-73.9634,GPS,25,Plantae,Magnoliophyta,,Fagales,Fagaceae,Quercus,palustris,,Quercus palustris Münchh.,D. E. Atha,2013,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2356906,https://sweetgum.nybg.org/images3/1307/294/02235987.jpg,Native,Y,LE,Unsure of second ID,1,Polystepha pilulae,1,,,,
