occurrenceID,institutionCode,basisOfRecord,catalogNumber,recordedBy,recordNumber,year,month,day,continent,country,stateProvince,county,locality,decimalLatitude,decimalLongitude,georeferenceProtocol,coordinateUncertaintyInMeters,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,scientificName,Origin,identifiedBy,yearIdentified,dcterms:references,associatedMedia,Notes,Herbivory Avg,Leaf 1,Leaf 2,Leaf 3,Leaf 4,Leaf 5,Leaf 6,Leaf 7,Leaf 8,Leaf 9,Leaf 10
1d707245-4fcc-42d2-b725-690c9efbc67e,NY,PreservedSpecimen,2450068,D. E. Atha,14468,2014,5,30,North America,United States of America,New York,New York Co.,"Central Park. Tennis House, north of the Tennis Courts, between 96th and 97th Streets and between 6th and 7th Avenues",40.7905,-73.9611,GPS,25,Plantae,Magnoliophyta,,Rosales,Rosaceae,Prunus,serotina,,Prunus serotina,Native,D. E. Atha,2015,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2643278,,,2.8,0,0,3,1,1,23,0,0,0,0
d0eaf34e-0236-447e-a144-b2ac0308aa16,NY,PreservedSpecimen,2456381,D. E. Atha,14731,2014,7,16,North America,United States of America,New York,New York Co.,"Central Park. Tennis House, at the 97th St Transverse. Between 96th and 97th Streets and between 7th and 8th Avenues",40.7916,-73.9629,GPS,,Plantae,Magnoliophyta,,Rosales,Rosaceae,Prunus,serotina,,Prunus serotina,Native,D. E. Atha,2015,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2686845,,,8.444444444,0,0,9,63,3,0,1,0,0,
448c7ae3-e8bc-49fc-a0ce-47eefed4c7f8,NY,PreservedSpecimen,2688810,R. Alvarez,201409,2014,5,21,North America,United States of America,New York,New York Co.,"Central Park, Hallett Nature Sanctuary, between 59th and 60th Street, 6th Avenue",40.7669,-73.975,,,Plantae,Magnoliophyta,,Rosales,Rosaceae,Prunus,serotina,,Prunus serotina,Native,R. Alvarez,2015,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2986086,,,1.6,0,0,0,0,0,0,0,16,0,0
0bafeaad-38ef-4d96-9183-9341f6546cb2,NY,PreservedSpecimen,2360408,J. L. Luteyn,8083,1991,5,23,North America,United States of America,New York,Bronx Co.,The New York Botanical Garden,40.8624,-73.8781,"Georeferencing Quick Reference Guide, Version 2012",774.389,Plantae,Magnoliophyta,,Rosales,Rosaceae,Prunus,serotina,,Prunus serotina,Native,D. E. Atha,2015,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2554011,http://sweetgum.nybg.org/images3/1833/160/02360408.jpg,,0.6,1,4,0,0,1,0,0,0,0,0
a48deeb7-6efc-4999-8e18-abf4bdcc5895,NY,PreservedSpecimen,2850952,M. H. Nee,32065,1985,11,2,North America,United States of America,New York,Bronx Co.,"New York Botanical Garden, city park on NW side of NYBG",,,Georeferencing Quick Reference Guide (Zermoglio et,,Plantae,Magnoliophyta,,Rosales,Rosaceae,Prunus,serotina,,Prunus serotina,Native,,,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3153902,http://sweetgum.nybg.org/images3/2396/026/02850952.jpg,,1.4,0,0,1,0,1,10,0,2,0,0
3a455394-8d71-47c7-8b11-c2444a77300d,NY,PreservedSpecimen,2851284,M. H. Nee,57174,2010,7,25,North America,United States of America,New York,Bronx Co.,"along Mosholu Parkway, parkland between the parkway and the street E Mosholu Parkway S.",40.8703,-73.8811,,,Plantae,Magnoliophyta,,Rosales,Rosaceae,Prunus,serotina,,Prunus serotina,Native,,,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3158641,http://sweetgum.nybg.org/images3/2394/030/02851284.jpg,,0.3,0,0,1,1,0,0,0,1,0,0
4365a7d4-0ca9-44af-96bb-0b52170c93f1,NY,PreservedSpecimen,1844736,A. W. Cahilly,10,1985,5,15,North America,United States of America,New York,Bronx Co.,"Grounds of The New York Botanical Garden, Forest Grid Number 105",40.8622,-73.8765,,,Plantae,Magnoliophyta,,Rosales,Rosaceae,Prunus,serotina,,Prunus serotina,Native,D. E. Atha,2015,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1247499,http://sweetgum.nybg.org/images3/1833/071/01844736.jpg,,1.9,0,0,0,2,8,0,0,2,0,7
e8e976de-818d-488e-8582-1e11b404cbb6,NY,PreservedSpecimen,1844737,W. Nieder,53,1986,5,19,North America,United States of America,New York,Bronx Co.,"Grounds of The New York Botanical Garden, Forest Grid Number 123",40.8649,-73.8753,,,Plantae,Magnoliophyta,,Rosales,Rosaceae,Prunus,serotina,,Prunus serotina,Native,D. E. Atha,2015,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1247501,http://sweetgum.nybg.org/images3/1833/072/01844737.jpg,,3.4,0,5,21,4,2,1,0,0,0,1
b6b70425-ebd7-4358-9df6-1d00d22513ee,NY,PreservedSpecimen,2850965,P. Wilson,s.n.,,,,North America,United States of America,New York,Queens Co.,N.Y. Parental School,40.7354,-73.8171,"Georeferencing Quick Reference Guide, Version 2012",202.569,Plantae,Magnoliophyta,,Rosales,Rosaceae,Prunus,serotina,,Prunus serotina,Native,,,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3153915,http://sweetgum.nybg.org/images3/2396/039/02850965.jpg,,12.3,0,7,1,3,2,1,68,0,29,12
c4c84c6b-08bd-4db8-826f-4b8c281d4cd0,NY,PreservedSpecimen,2851000,N. L. Britton,s.n.,1883,6,2,North America,United States of America,New York,Queens Co.,,40.7494,-73.9023,"Georeferencing Quick Reference Guide, Version 2012",1251.57,Plantae,Magnoliophyta,,Rosales,Rosaceae,Prunus,serotina,,Prunus serotina,Native,,,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3153950,http://sweetgum.nybg.org/images3/2392/175/02851000.jpg,,4.2,26,0,0,2,1,3,5,1,4,0
