occurrenceID,institutionCode,year,month,day,stateProvince,county,locality,decimalLatitude,decimalLongitude
24ade02c-49c6-4000-96b2-c231c7dcc70a,NY,2011,8,28,New York,Bronx Co.,"Bronx, W side of Mosholu Parkway, between Marion Ave. and Webster Ave20",40.87,-73.8811
454d14b4-760a-4e0b-be81-5ccab40cadfa,NY,,,,New York,Queens Co.,,40.6989,-73.7887
351c0f2d-d066-4b2d-8243-881c66f83264,NY,,,,New York,Queens Co.,,40.6989,-73.7887
0130fdb4-e5e8-43c2-a585-7e2d3cfd51fd,NY,1864,9,17,New York,Queens Co.,,40.6989,-73.7887
351c0f2d-d066-4b2d-8243-881c66f83264,NY,,,,New York,Queens Co.,,40.6989,-73.789
79c5c887-ab2c-4a20-a9cd-ff1495691515,NY,1933,7,20,New York,Bronx Co.,Pelham Bay Park,40.8699,-73.8029
b6b70425-ebd7-4358-9df6-1d00d22513ee,NY,,,,New York,Queens Co.,N.Y. Parental School,40.7354,-73.817
b6b70425-ebd7-4358-9df6-1d00d22513ee,NY,,,,New York,Queens Co.,N.Y. Parental School,40.7354,-73.8171
c7599d67-e47c-44ad-9bbe-0d0b8f3eac6e,NY,,,,New York,Queens Co.,N.Y. Parental School,40.7354,-73.8171
3aa992a6-5188-44f3-862f-af7d7f4d4bca,NY,,,,New York,Queens Co.,N.Y. Parental School,40.7354,-73.8171
297fd6dc-989a-4d85-868b-1c46681eacbe,NY,1922,9,18,New York,Queens Co.,,40.7654,-73.8174
e6ac80a1-c50a-4f7f-9edb-89f1700b6de7,NY,1922,9,18,New York,Queens Co.,Long Island,40.7654,-73.8174
cc1b3853-1492-4df6-a27d-70e245d43e6c,NY,1923,6,2,New York,Queens Co.,Long Island,40.7654,-73.8174
0591598a-5892-4a84-816e-d3c31b0a73bd,NY,1936,10,,New York,Queens Co.,Kissena Park,40.7654,-73.8174
6955675d-f984-437f-814e-45f02ffadde7,NY,,,,New York,Queens Co.,Kissena Park,40.7654,-73.8174
6b008967-ed89-4560-940b-f64a4acf51d0,NY,1937,10,31,New York,Queens Co.,,40.6161,-73.8237
dd6611f6-90a9-4b36-a396-51186baacb3f,NY,1937,10,31,New York,Queens Co.,,40.6161,-73.8237
1bb30b08-10b7-49f5-badb-b8ab46f00212,NY,1973,5,12,New York,Queens Co.,,40.6161,-73.8237
166ec1cd-9d2d-44c8-bd4f-62f3819ca6f0,NY,1973,10,1,New York,Queens Co.,,40.6161,-73.8237
62bd4416-9c56-4f72-93c8-076e29756c9e,NY,1973,11,6,New York,Queens Co.,,40.6161,-73.8237
d77ca17e-7ffa-4fe7-a2cd-2176df976bf5,NY,1976,4,18,New York,Queens Co.,,40.6161,-73.8237
26d4a0a9-e789-48c0-a7d9-c49e1536bf05,NY,1978,,,New York,Queens Co.,Long Island,40.7819,-73.8403
c2812848-9b48-436b-90f5-8f087459ffe8,NY,,,,New York,Queens Co.,Long Island,40.7819,-73.8403
746bbc85-3a83-4db1-9e19-406a9dd79d8d,NY,1891,5,26,New York,Bronx Co.,,40.8571,-73.8507
1e395bad-46ff-43ba-af02-1251f711b511,NY,1976,6,2,New York,Bronx Co.,,40.85,-73.866
6294f6f5-d6a1-434c-b3b1-627e55c5fa35,NY,1976,5,31,New York,Bronx Co.,,40.85,-73.866
e91d4422-a8a7-43e3-bb9f-92f4f11bfcb3,NY,1973,11,10,New York,Bronx Co.,along Mosholu Parkway,40.85,-73.866
eb9fcfb9-ec2b-4887-b13a-7dfc64b8c5f2,NY,1976,6,2,New York,Bronx Co.,,40.85,-73.866
76372032-01b3-464b-ab5e-1f6bfc913193,NY,1976,6,2,New York,Bronx Co.,,40.85,-73.866
16a9a131-69bd-4ed8-94a3-8174640abf68,NY,1976,10,16,New York,Bronx Co.,,40.85,-73.866
41249b0b-0380-400f-8543-5125fb3e316f,NY,1976,5,31,New York,Bronx Co.,Corner of Mosholu Pkway. and Southern Blvd.,40.85,-73.866
301bde7c-c0f0-4941-9c3f-2fffbaf86143,NY,1974,9,23,New York,Bronx Co.,Lehman College,40.85,-73.8662
01b7ffb8-e8c4-4ca6-895e-bbed38bdc698,NY,1891,5,24,New York,Bronx Co.,Lower Jerome Ave,40.85,-73.8662
ec669e77-e44a-410e-b8ac-aadcd2e220d9,NY,1973,11,10,New York,Bronx Co.,Along Mosholu Parkway,40.85,-73.8662
102f66de-d75d-49a3-b490-159d480aa94a,NY,,,,New York,Bronx Co.,,40.85,-73.8662
4a424258-f00f-4327-855f-2bb5f7ce5bc8,NY,1891,5,10,New York,Bronx Co.,along the railroad at Williams Bridge (Bronx Park),40.85,-73.8662
c543f3ec-8974-4101-b9d3-487d4fbf82af,NY,1906,5,10,New York,Bronx Co.,N.Y. Botanical Garden,40.85,-73.8662
a585045a-8793-4e20-b204-6fe42dc5494b,NY,1906,5,10,New York,Bronx Co.,N.Y.B.G.,40.85,-73.8662
0faa4c68-8d5f-41a3-bf5e-06738bba71a7,NY,1906,5,10,New York,Bronx Co.,N.Y.B.G.,40.85,-73.8662
057a185f-57a7-4975-9c12-caa7825d43a4,NY,1906,5,10,New York,Bronx Co.,N.Y. Bot. Garden,40.85,-73.8662
6b07eb66-f487-4217-8940-faadf5d006d5,NY,1937,6,20,New York,Bronx Co.,,40.85,-73.8662
f5d8844e-ca96-493e-bf89-adecdd20d8e0,NY,1973,11,2,New York,Bronx Co.,,40.85,-73.8662
e91d4422-a8a7-43e3-bb9f-92f4f11bfcb3,NY,1973,11,10,New York,Bronx Co.,along Mosholu Parkway,40.85,-73.8662
5b6ee698-d90d-4ebe-9159-593ef881f646,NY,1976,4,13,New York,Bronx Co.,along Mosholu Pkwy.,40.85,-73.8662
df386b47-b584-42c9-a1ad-aec2e30dbdd1,NY,1976,7,22,New York,Bronx Co.,,40.85,-73.8662
e6c43259-31b5-4dd4-b3e9-a1fef7313d46,NY,1976,4,22,New York,Bronx Co.,along Mosholu Pkwy. near Webster Ave.,40.85,-73.8662
fa1b5dd5-3d95-46ea-8899-522968b7a02d,NY,1977,5,31,New York,Bronx Co.,along support wall along Mosholu Pkwy.,40.85,-73.8662
8b4a8873-7654-4a66-b702-2a6cf10ed14f,NY,1977,5,26,New York,Bronx Co.,along Mosholu Pkwy. wall,40.85,-73.8662
5e542d55-aafb-4cd1-a42b-7517aae4ba53,NY,1976,4,26,New York,Bronx Co.,along Mosholu Pkwy.,40.85,-73.8662
c4e4b233-b92e-4b70-affa-b00b1b672cb6,NY,1976,4,30,New York,Bronx Co.,along Mosholu Pkwy.,40.85,-73.8662
1e395bad-46ff-43ba-af02-1251f711b511,NY,1976,6,2,New York,Bronx Co.,,40.85,-73.8662
778227ce-581a-4033-b2d9-aa27c30cb153,NY,1976,6,2,New York,Bronx Co.,,40.85,-73.8662
eb9fcfb9-ec2b-4887-b13a-7dfc64b8c5f2,NY,1976,6,2,New York,Bronx Co.,,40.85,-73.8662
67e882ca-193c-4511-91df-df2b20d72967,NY,1976,6,2,New York,Bronx Co.,,40.85,-73.8662
b88c54a8-dca1-4e7c-a5d9-c118d87aa9d0,NY,1976,6,2,New York,Bronx Co.,,40.85,-73.8662
6e9a9e8f-74fe-45b9-a5d2-9bfc2dd13498,NY,1976,6,2,New York,Bronx Co.,,40.85,-73.8662
76372032-01b3-464b-ab5e-1f6bfc913193,NY,1976,6,2,New York,Bronx Co.,,40.85,-73.8662
9a749969-af9e-42e2-aaca-b0ac0ac2bc9c,NY,1976,4,23,New York,Bronx Co.,,40.85,-73.8662
cf5ef602-1c2d-4702-8562-36323d5d7945,NY,1976,10,16,New York,Bronx Co.,,40.85,-73.8662
868beb3a-f6b0-4953-8e3b-bedbca632f7a,NY,1976,4,28,New York,Bronx Co.,Mosholu Pkwy,40.85,-73.8662
a8fb983f-6ff4-4105-92e0-c9fc0571f25c,NY,1976,6,2,New York,Bronx Co.,,40.85,-73.8662
07195f46-9575-4be1-947e-83892ca606be,NY,1976,6,19,New York,Bronx Co.,Parkside Place,40.85,-73.8662
832d7526-d171-4fec-8c53-2a87f61af37e,NY,1976,4,8,New York,Bronx Co.,,40.85,-73.8662
41249b0b-0380-400f-8543-5125fb3e316f,NY,1976,5,31,New York,Bronx Co.,Corner of Mosholu Pkway. and Southern Blvd.,40.85,-73.8662
6294f6f5-d6a1-434c-b3b1-627e55c5fa35,NY,1976,5,31,New York,Bronx Co.,,40.85,-73.8662
